Employment in agriculture (% of employed),Employment in services (% employed),Economy: Agriculture (% of Gross Value Added),"Fertility rate, total (live births per woman)",Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Health: Physicians (per 1 000 pop.),Under five mortality rate (per 1000 live births),Urban population (% of total population),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Employment in industry (% of employed),gdp_class
44.6,34.7,22.0,5.7,54.3,27.9,0.3,76.5,24.8,68.3,2.3,20.7,0.0
46.0,35.5,31.4,5.1,54.1,29.3,0.3,62.9,25.8,55.0,3.3,18.5,0.0
41.3,40.0,22.5,1.6,105.3,91.5,1.3,10.1,57.4,52.7,0.2,18.7,1.0
36.2,43.2,21.9,1.4,97.2,89.4,1.9,9.4,61.2,55.1,0.4,20.6,1.0
55.2,38.6,9.9,5.4,31.5,25.7,0.2,71.6,66.2,44.4,3.2,6.3,0.0
7.8,69.8,6.1,2.3,78.6,91.5,4.0,12.9,91.5,66.3,1.0,22.3,2.0
7.3,72.2,7.6,1.6,90.5,101.2,3.9,11.2,92.0,65.6,0.3,20.5,2.0
52.2,32.4,18.9,1.6,85.9,89.3,3.0,14.6,63.1,52.9,0.1,15.4,1.0
52.4,34.6,12.4,1.6,84.2,86.8,3.1,11.4,63.2,58.2,0.7,13.0,1.0
2.6,77.3,2.6,1.8,243.9,207.0,3.5,3.8,85.7,73.4,1.5,20.1,3.0
2.8,78.0,2.5,1.6,197.2,192.8,3.9,3.6,86.1,70.3,0.7,19.2,3.0
4.5,69.7,1.3,1.5,105.1,98.8,5.1,3.7,57.7,70.5,1.3,25.8,3.0
3.9,71.3,1.2,1.4,104.1,99.5,5.3,3.7,58.5,70.4,0.4,24.9,3.0
36.3,49.3,7.4,1.8,73.7,70.6,3.1,20.0,56.0,46.2,0.6,14.4,1.0
3.5,84.7,0.9,1.6,75.1,78.0,2.2,15.1,82.7,85.7,0.7,11.8,3.0
1.1,63.8,0.3,2.1,96.5,103.5,0.9,7.6,89.0,59.0,4.0,35.2,3.0
0.9,64.2,0.3,1.9,101.3,102.3,0.8,9.1,89.4,58.6,0.7,34.9,3.0
43.5,36.0,14.7,2.2,48.4,47.0,0.5,38.7,34.3,54.3,0.9,20.5,0.0
38.1,40.5,12.4,2.2,55.5,61.1,0.7,31.3,37.4,53.4,0.8,21.4,1.0
2.8,80.7,2.2,1.7,110.7,118.2,2.6,11.6,31.2,83.1,0.2,16.6,2.0
10.2,58.1,7.2,1.7,108.9,103.0,5.1,4.1,77.2,55.1,0.2,31.6,1.0
10.9,58.5,8.1,1.4,103.4,96.6,4.5,2.9,79.0,56.1,1.1,30.6,1.0
1.2,77.4,0.8,1.7,142.4,168.4,3.0,3.9,97.9,77.3,0.7,21.4,3.0
0.9,78.7,0.8,1.6,133.2,156.7,3.2,3.6,98.0,77.7,0.3,20.4,3.0
18.1,66.5,11.1,2.4,55.7,63.6,1.1,15.6,45.4,71.7,2.1,15.4,1.0
17.3,63.5,9.7,2.0,58.5,69.0,1.1,12.9,45.9,71.0,1.3,19.2,1.0
36.0,43.9,28.7,5.3,49.9,25.2,0.1,97.1,45.7,53.5,2.9,20.1,0.0
29.4,48.5,29.7,4.8,37.3,24.2,0.1,85.6,47.9,52.5,2.6,22.1,0.0
58.0,32.4,14.4,1.8,66.9,72.4,0.3,30.6,38.7,42.2,1.0,9.7,1.0
49.9,35.2,16.1,1.5,70.7,75.2,0.5,25.1,41.6,51.3,0.7,14.9,1.0
29.7,49.4,12.6,2.9,87.8,88.2,0.5,51.4,68.4,56.5,1.5,20.9,1.0
30.0,51.9,15.5,2.7,84.4,85.6,1.0,45.7,69.8,58.5,1.1,18.1,1.0
17.9,52.6,7.3,1.3,76.7,79.3,2.1,6.4,47.2,66.4,1.3,29.5,1.0
12.2,53.3,7.0,1.5,80.1,82.8,2.3,6.4,48.6,64.8,1.5,34.4,1.0
9.3,67.8,5.0,1.8,85.5,99.8,1.9,16.0,85.8,72.5,0.8,22.8,2.0
9.3,70.4,6.6,1.7,91.5,101.9,2.3,14.5,86.8,70.9,0.5,20.3,2.0
1.4,82.0,1.1,1.9,110.5,108.7,1.8,9.9,76.7,38.7,1.3,16.7,3.0
1.3,74.9,1.2,1.8,81.9,86.0,1.8,9.8,77.9,40.7,1.0,23.7,3.0
6.9,63.2,4.7,1.5,89.2,87.3,4.0,7.7,74.0,67.5,0.7,29.9,2.0
6.6,63.1,4.0,1.6,89.0,85.9,4.2,6.0,75.3,70.8,0.5,30.3,2.0
76.9,16.8,24.9,5.5,15.9,10.3,0.1,100.9,27.5,48.3,2.9,6.3,0.0
74.8,18.4,20.6,4.4,25.1,20.6,0.1,84.8,30.0,43.0,2.4,6.8,0.0
86.3,10.2,37.5,5.7,31.1,23.3,0.0,68.7,12.1,46.2,1.2,3.5,0.0
85.3,11.6,37.3,5.2,44.8,52.0,0.1,54.7,13.4,44.2,2.8,3.1,0.0
15.8,65.4,7.3,2.0,60.2,77.7,0.7,18.6,64.3,76.2,0.0,18.8,1.0
10.7,67.5,5.4,1.6,65.7,80.7,0.8,13.6,66.2,75.6,0.1,21.7,1.0
36.9,38.0,24.2,2.7,38.0,38.3,0.2,25.6,23.8,39.0,1.6,25.1,0.0
46.5,39.1,18.7,4.8,49.6,39.9,0.1,89.8,54.6,54.0,3.0,14.3,0.0
43.1,41.7,19.0,4.6,45.3,39.2,0.1,74.8,57.0,56.1,2.7,15.1,0.0
1.6,79.2,2.0,1.4,114.6,115.3,2.4,5.1,81.5,72.6,0.8,19.3,3.0
72.9,21.0,32.5,6.1,10.3,6.2,0.1,123.5,40.3,44.6,1.7,6.1,0.0
71.3,22.5,33.4,6.1,10.6,6.4,0.1,122.1,41.8,44.9,2.6,6.2,0.0
71.3,20.8,29.8,6.7,25.6,9.2,0.0,128.6,22.5,27.0,2.9,7.9,0.0
69.8,20.9,34.4,6.3,24.1,10.7,0.1,110.0,23.3,34.3,3.4,9.4,0.0
9.2,67.1,4.0,1.7,98.4,100.3,2.2,8.2,87.4,63.4,1.0,23.7,2.0
7.2,70.9,4.5,1.3,103.0,103.5,2.8,5.9,87.6,62.4,0.4,21.9,2.0
28.3,42.4,8.7,1.7,83.1,89.0,1.8,10.8,55.5,50.3,0.5,29.3,2.0
23.6,44.8,8.0,1.2,82.9,86.5,2.4,7.6,60.3,54.0,0.1,31.6,2.0
16.3,64.2,6.6,1.8,73.5,86.9,2.0,15.6,79.8,61.9,0.9,19.5,1.0
16.7,63.4,8.2,1.7,81.1,90.7,2.4,13.2,81.1,65.8,1.2,19.9,1.0
37.9,43.9,31.7,4.4,50.2,54.5,0.2,61.2,28.5,57.5,2.1,18.2,0.0
35.8,49.0,37.0,4.1,44.0,49.4,0.4,51.5,29.2,54.6,2.0,15.2,0.0
32.1,43.5,6.1,4.6,46.1,35.6,0.2,51.8,65.5,42.7,2.4,24.4,1.0
33.0,45.0,10.9,4.3,59.3,50.7,0.1,43.4,67.4,54.4,2.4,22.0,0.0
4.3,84.0,3.2,2.2,73.2,74.3,1.4,8.8,74.4,85.4,0.6,11.7,2.0
14.4,67.2,5.2,1.8,95.2,113.6,1.8,9.1,76.9,73.1,1.1,18.4,2.0
16.5,65.4,4.7,1.4,131.4,154.7,2.5,8.1,80.1,73.4,0.6,18.1,2.0
9.2,64.1,3.6,1.4,91.7,96.5,3.2,5.1,56.2,71.6,1.1,26.7,2.0
6.5,65.3,3.7,1.5,92.5,97.8,7.0,4.7,57.2,71.5,0.8,28.2,2.0
18.7,64.5,3.9,1.7,90.8,101.4,7.8,6.3,76.9,73.5,0.0,16.8,2.0
17.8,65.8,2.8,1.5,102.6,109.9,9.2,6.0,77.1,74.0,0.2,16.5,2.0
4.0,79.8,2.1,1.3,100.3,99.6,2.6,3.1,66.9,86.2,1.4,16.2,3.0
2.7,77.8,2.1,1.4,100.0,96.4,3.4,3.3,66.8,83.3,1.2,19.5,3.0
2.9,59.0,2.5,1.6,108.9,110.7,3.7,3.0,73.5,60.0,0.0,38.0,2.0
2.6,60.1,2.2,1.8,101.9,103.8,4.2,2.8,73.9,64.1,0.1,37.2,3.0
43.5,44.5,19.8,5.0,31.9,21.8,0.2,86.7,49.4,58.4,2.9,12.1,0.0
46.2,43.3,20.3,4.5,39.2,30.4,0.2,73.8,51.2,56.7,2.5,10.5,1.0
46.4,40.4,21.6,1.9,94.9,96.9,3.5,21.4,61.3,32.2,0.5,13.2,0.0
