"Fertility rate, total (live births per woman)",Under five mortality rate (per 1000 live births),Economy: Services and other activity (% of GVA),Population growth rate (average annual %),Economy: Agriculture (% of Gross Value Added),gdp_class
5.7,76.5,68.3,2.3,22.0,0.0
5.1,62.9,55.0,3.3,31.4,0.0
4.8,54.5,47.5,2.8,35.5,0.0
1.6,10.1,52.7,0.2,22.5,1.0
1.4,9.4,55.1,0.4,21.9,1.0
1.3,8.3,54.2,0.7,21.3,2.0
3.1,25.3,50.6,2.0,12.1,1.0
2.9,22.8,51.4,1.6,14.3,1.0
2.7,20.5,48.7,1.4,13.3,1.0
1.2,5.8,88.2,2.2,0.6,3.0
1.0,6.5,85.8,0.6,0.6,3.0
1.1,6.0,87.0,1.3,0.5,3.0
5.8,88.6,48.8,3.6,9.1,1.0
5.4,71.6,44.4,3.2,9.9,0.0
5.0,63.1,41.1,3.0,13.7,1.0
1.4,7.4,82.4,2.5,2.3,3.0
1.4,6.3,83.9,0.6,1.0,2.0
1.4,5.5,86.9,1.0,0.7,3.0
1.6,10.9,79.5,0.7,1.8,2.0
1.6,10.1,74.7,0.6,2.4,2.0
1.6,9.2,74.9,0.5,2.1,2.0
2.3,12.9,66.3,1.0,6.1,2.0
1.6,11.2,65.6,0.3,7.6,2.0
1.5,10.2,63.3,0.3,7.9,2.0
1.6,14.6,52.9,0.1,18.9,1.0
1.6,11.4,58.2,0.7,12.4,1.0
1.7,10.4,60.9,0.7,11.4,2.0
1.9,16.5,86.4,0.8,0.0,3.0
1.7,15.1,87.1,0.0,0.0,3.0
1.6,13.3,87.2,0.1,0.0,3.0
1.8,3.8,73.4,1.5,2.6,3.0
1.6,3.6,70.3,0.7,2.5,3.0
1.6,3.2,68.3,1.0,2.5,3.0
1.5,3.7,70.5,1.3,1.3,3.0
1.4,3.7,70.4,0.4,1.2,3.0
1.3,3.4,69.3,0.1,1.5,3.0
2.1,26.8,43.9,1.2,6.8,1.0
1.8,20.0,46.2,0.6,7.4,1.0
1.7,16.9,34.4,0.6,5.1,2.0
1.6,15.1,85.7,0.7,0.9,3.0
1.4,13.2,86.3,0.2,0.9,3.0
1.4,12.5,90.0,0.5,0.6,3.0
2.1,7.6,59.0,4.0,0.3,3.0
1.9,9.1,58.6,0.7,0.3,3.0
1.8,6.2,56.2,2.4,0.3,3.0
2.2,38.7,54.3,0.9,14.7,0.0
2.2,31.3,53.4,0.8,12.4,1.0
2.1,21.0,53.0,1.2,11.7,1.0
1.7,13.3,82.9,0.2,1.7,2.0
1.7,11.6,83.1,0.2,2.2,2.0
1.7,12.3,84.0,0.1,1.7,2.0
1.7,4.1,55.1,0.2,7.2,1.0
1.4,2.9,56.1,1.1,8.1,1.0
1.2,3.1,54.1,0.6,8.6,2.0
1.7,3.9,77.3,0.7,0.8,3.0
1.6,3.6,77.7,0.3,0.8,3.0
1.4,3.4,76.9,0.2,0.7,3.0
2.4,15.6,71.7,2.1,11.1,1.0
2.0,12.9,71.0,1.3,9.7,1.0
2.0,10.5,72.5,1.4,9.2,2.0
5.3,97.1,53.5,2.9,28.7,0.0
4.8,85.6,52.5,2.6,29.7,0.0
4.5,77.5,51.6,2.4,29.6,0.0
1.4,3.7,94.4,0.1,0.2,3.0
1.5,2.8,93.9,0.4,0.3,3.0
1.4,2.3,93.7,0.1,0.3,3.0
1.8,30.6,42.2,1.0,14.4,1.0
1.5,25.1,51.3,0.7,16.1,1.0
1.4,21.5,52.4,0.6,15.0,1.0
2.9,51.4,56.5,1.5,12.6,1.0
2.7,45.7,58.5,1.1,15.5,1.0
2.5,40.4,56.2,1.4,14.1,1.0
1.3,6.4,66.4,1.3,7.3,1.0
1.5,6.4,64.8,1.5,7.0,1.0
1.5,5.4,64.8,0.7,5.8,2.0
3.0,48.8,59.0,1.4,2.0,1.0
2.9,41.2,69.8,1.4,2.3,1.0
2.7,36.8,58.8,1.6,1.9,2.0
1.8,16.0,72.5,0.8,5.0,2.0
1.7,14.5,70.9,0.5,6.6,2.0
1.6,13.7,68.2,0.4,7.9,2.0
1.2,15.1,93.7,6.0,0.1,3.0
1.0,13.7,93.0,2.6,0.1,3.0
1.0,12.3,93.1,0.7,0.1,3.0
1.9,9.9,38.7,1.3,1.1,3.0
1.8,9.8,40.7,1.0,1.2,3.0
1.7,9.3,32.0,0.8,1.1,3.0
1.5,7.7,67.5,0.7,4.7,2.0
1.6,6.0,70.8,0.5,4.0,2.0
1.7,5.9,67.0,0.6,4.3,2.0
5.5,100.9,48.3,2.9,24.9,0.0
4.4,84.8,43.0,2.4,20.6,0.0
4.1,81.5,43.4,2.2,22.9,0.0
5.7,68.7,46.2,1.2,37.5,0.0
5.2,54.7,44.2,2.8,37.3,0.0
4.8,47.9,44.7,2.5,36.5,0.0
2.0,18.6,76.2,0.0,7.3,1.0
1.6,13.6,75.6,0.1,5.4,1.0
1.5,11.6,76.3,0.5,4.3,1.0
2.7,31.9,42.3,1.4,28.2,0.0
2.7,25.6,39.0,1.6,24.2,0.0
2.5,22.2,36.0,1.2,23.7,0.0
4.8,89.8,54.0,3.0,18.7,0.0
4.6,74.8,56.1,2.7,19.0,0.0
4.3,65.8,54.3,2.6,18.3,0.0
1.6,5.3,72.1,0.9,2.0,3.0
1.4,5.1,72.6,0.8,2.0,3.0
1.3,4.7,72.7,1.0,2.0,3.0
1.3,2.9,92.2,2.4,0.4,3.0
1.6,2.1,91.0,1.9,0.5,3.0
1.5,1.5,90.9,1.9,0.5,3.0
6.1,123.5,44.6,1.7,32.5,0.0
6.1,122.1,44.9,2.6,33.4,0.0
6.0,92.6,44.9,3.4,33.4,0.0
6.7,128.6,27.0,2.9,29.8,0.0
6.3,110.0,34.3,3.4,34.4,0.0
6.0,98.3,21.3,4.2,29.7,0.0
1.7,8.2,63.4,1.0,4.0,2.0
1.3,5.9,62.4,0.4,4.5,2.0
1.1,6.4,60.4,0.5,3.9,2.0
1.7,10.8,50.3,0.5,8.7,2.0
1.2,7.6,54.0,0.1,8.0,2.0
1.0,8.0,52.3,0.2,7.7,2.0
1.2,2.5,92.7,0.6,0.1,3.0
0.9,2.0,93.4,0.0,0.1,3.0
0.7,1.9,93.3,0.5,0.1,3.0
1.8,15.6,61.9,0.9,6.6,1.0
1.7,13.2,65.8,1.2,8.2,1.0
1.6,11.7,61.0,1.0,9.2,1.0
4.4,61.2,57.5,2.1,31.7,0.0
4.1,51.5,54.6,2.0,37.0,0.0
3.8,44.8,52.5,1.9,38.0,0.0
4.6,51.8,42.7,2.4,6.1,1.0
4.3,43.4,54.4,2.4,10.9,0.0
4.1,38.7,47.1,2.4,8.9,1.0
2.2,8.8,85.4,0.6,3.2,2.0
2.1,7.4,87.2,3.2,3.1,2.0
2.0,6.5,91.9,3.5,3.7,2.0
1.8,9.1,73.1,1.1,5.2,2.0
1.4,8.1,73.4,0.6,4.7,2.0
1.3,7.5,72.9,0.5,4.4,2.0
1.4,5.1,71.6,1.1,3.6,2.0
1.5,4.7,71.5,0.8,3.7,2.0
1.5,4.0,72.6,0.7,3.7,2.0
1.7,6.3,73.5,0.0,3.9,2.0
1.5,6.0,74.0,0.2,2.8,2.0
1.4,5.6,79.7,0.4,1.8,2.0
1.9,11.6,81.1,0.8,0.2,2.0
1.1,10.5,86.0,0.3,0.3,2.0
1.1,9.9,86.5,0.0,0.3,2.0
1.3,3.1,86.2,1.4,2.1,3.0
1.4,3.3,83.3,1.2,2.1,3.0
1.4,2.9,84.4,0.9,1.8,3.0
1.6,3.0,60.0,0.0,2.5,2.0
1.8,2.8,64.1,0.1,2.2,3.0
1.5,2.6,65.3,1.0,2.1,3.0
5.0,86.7,58.4,2.9,19.8,0.0
4.5,73.8,56.7,2.5,20.3,1.0
4.2,66.3,58.0,2.4,17.8,1.0
1.9,21.4,32.2,0.5,21.6,0.0
1.8,17.5,33.8,0.4,22.4,0.0
1.8,16.7,33.4,0.3,23.1,0.0
6.4,95.7,35.5,3.3,19.7,0.0
6.2,80.8,37.7,3.3,21.6,0.0
6.0,72.4,32.3,3.2,17.9,0.0
1.7,4.1,75.9,0.8,1.1,3.0
1.7,3.5,75.7,0.3,1.6,3.0
1.5,3.4,76.4,0.5,1.3,3.0
3.0,65.2,86.6,1.7,1.3,1.0
2.7,55.6,86.6,1.5,1.4,1.0
2.6,49.1,86.6,1.3,1.4,1.0
1.6,32.2,68.8,0.4,16.5,2.0
1.5,30.7,67.9,0.5,17.8,2.0
1.5,31.7,66.3,0.4,19.5,2.0
2.4,34.9,63.5,1.1,5.9,2.0
2.3,33.5,61.2,1.1,6.5,2.0
2.2,31.5,58.4,0.8,6.2,2.0
2.2,15.4,55.4,1.4,10.2,1.0
2.0,13.0,56.8,0.8,10.5,1.0
1.8,12.1,57.1,0.9,9.4,1.0
3.5,23.4,52.5,2.0,11.3,1.0
2.8,19.4,54.3,1.6,12.1,1.0
2.7,16.2,54.1,1.6,11.5,1.0
2.1,15.4,66.1,0.3,6.1,1.0
1.8,12.8,67.9,0.4,5.9,1.0
1.8,11.3,66.6,0.4,5.3,1.0
4.8,93.3,39.1,3.7,1.9,2.0
4.3,78.4,51.6,2.3,2.9,1.0
4.1,69.2,44.7,2.4,2.6,2.0
4.2,46.5,51.6,0.7,17.2,0.0
3.9,39.2,51.4,1.8,17.3,0.0
3.7,33.9,51.4,1.9,17.3,0.0
1.6,3.4,69.2,0.2,3.3,2.0
1.6,2.0,71.9,0.1,2.3,3.0
1.4,2.3,70.0,1.0,2.8,3.0
3.1,64.0,52.6,0.6,9.8,1.0
2.9,54.7,57.8,1.2,8.7,1.0
2.7,48.8,56.4,1.0,8.8,1.0
4.5,63.3,43.7,2.7,38.8,0.0
4.3,50.4,38.6,2.7,37.2,0.0
3.9,43.2,37.7,2.6,38.8,0.0
2.6,21.9,70.6,0.1,10.0,1.0
2.4,26.3,62.8,0.3,16.9,1.0
2.3,20.4,66.3,0.5,15.3,1.0
1.6,2.1,70.4,0.3,2.6,3.0
1.4,2.3,69.4,0.2,2.8,3.0
1.3,2.3,68.0,0.2,2.6,3.0
1.9,4.3,78.5,0.3,1.8,3.0
1.8,4.0,79.4,0.3,1.8,3.0
