Country,Year,"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Forested area (% of land area),Important sites for terrestrial biodiversity protected (%),Individuals using the Internet (per 100 inhabitants),Net Official Development Assist. disbursed (% of GNI),Net Official Development Assist. received (% of GNI),Research & Development expenditure (% of GDP),Threatened species (number),Tourist/visitor arrivals at national borders (000),CO2 emission estimates - Total (million tons),CO2 emission estimates - Per capita (tons per capita),CO2 emission estimates - Total/CO2 emission estimates - Per capita Ratio,Pop. using safely managed drinking water - Urban (%),Pop. using safely managed drinking water - Rural (%),Pop. using safely managed drinking water - Urban/Pop. using safely managed drinking water - Rural Ratio,Pop. using safely managed sanitation - Urban (%),Pop. using safely managed sanitation - Rural (%),Pop. using safely managed sanitation - Urban/Pop. using safely managed sanitation - Rural Ratio
Afghanistan,2015,61,5,1.9,5.8,8.3,,22.14,,38,,9.5,0.3,3166.666667,31.8,21.2,150,,,
Afghanistan,2020,78,5,1.9,46.4,17.6,,20.73,,40,,11.3,0.3,3766.666667,35.6,25.9,137.4517375,,,
Afghanistan,2024,91,4,1.9,46.4,,,,,57,,10,0.2,5000,36.4,27.7,131.4079422,,,
Albania,2015,87,32,28.8,47.7,56.9,,2.91,,112,3784,3.8,1.3,292.3076923,,,,34,,
Albania,2020,63,30,28.8,48.6,72.2,,2.08,,142,2604,3.5,1.2,291.6666667,,,,45.2,,
Albania,2024,76,33,28.8,48.6,82.6,,3.52,,165,7105,3.9,1.4,278.5714286,,,,49.6,,
Algeria,2015,5883,56,0.8,42.4,38.2,,0.04,,114,1710,126.1,3.2,3940.625,81.5,65.9,123.6722307,65.8,54.1,121.6266174
Algeria,2020,5458,54,0.8,43.5,60.7,,0.15,0.5,155,591,133.6,3.1,4309.677419,74.5,65.8,113.2218845,64.8,55.7,116.3375224
Algeria,2024,6214,58,0.8,43.5,71.2,,0.13,,186,1398,146,3.3,4424.242424,73.1,63.1,115.8478605,64.6,56,115.3571429
American Samoa,2015,0,110,86.4,71.1,,,,,90,20,0.4,8,5,,,,,,
American Samoa,2020,0,116,85.6,71.1,,,,,99,1,0.4,8.5,4.705882353,,,,,,
American Samoa,2024,0,119,85.5,71.1,,,,,109,,0.4,8.7,4.597701149,,,,,,
Andorra,2015,0,122,34,26.2,87.9,,,,11,2663,0.5,6.7,7.462686567,,,,98.2,98.2,100
Andorra,2020,1,96,34,26.2,93.2,,,,15,1872,0.4,5,8,,,,100,100,100
Andorra,2024,1,101,34,26.2,94.5,,,,17,3555,0.4,5.4,7.407407407,,,,100,100,100
Angola,2015,4051,19,55.7,31.3,22,,0.46,,130,592,17.9,0.6,2983.333333,,,,,,
Angola,2020,3315,15,53.4,31.3,36.6,,0.23,0,171,64,11.8,0.4,2950,,,,,,
Angola,2024,2940,16,53,31.3,39.3,,0.37,,239,130,14.5,0.4,3625,,,,,,
Anguilla,2015,0,136,61.1,18.6,76,,,,51,73,0.1,9.6,1.041666667,,,,,,
Anguilla,2020,0,126,61.1,18.6,81.6,,,,60,25,0.1,8.9,1.123595506,,,,,,
Anguilla,2024,0,128,61.1,18.6,,,,,85,74,0.1,9.1,1.098901099,,,,,,
Antigua and Barbuda,2015,0,91,19.2,9.1,70,,0.12,,53,250,0.6,6.6,9.090909091,,,,,,
Antigua and Barbuda,2020,0,94,18.5,14,86.9,,1.93,,61,125,0.6,6.8,8.823529412,,,,,,
Antigua and Barbuda,2024,0,96,18.3,14,91.4,,0.42,,88,265,0.6,6.9,8.695652174,,,,,,
Argentina,2015,3063,79,10.6,31.1,68,,0,0.6,243,6816,184.6,4.3,4293.023256,,,,46,,
Argentina,2020,3060,68,10.4,32.1,85.5,,0.03,0.5,285,2090,157.9,3.5,4511.428571,,,,46.2,,
Argentina,2024,3158,75,10.4,32.3,88.4,,0.03,0.5,373,3890,183.1,4,4577.5,,,,46.2,,
