Country,Capital city,Capital city pop. (000),"Capital city pop. (000, 2024)",Exchange rate (per US$),National currency,"Pop. density (per km2, 2024)","Population (000, 2024)",Region,Sex ratio (m per 100 f),Surface area (km2),UN membership date
Afghanistan,Kabul,,4114.0,77.1,Afghani (AFN),65.7,42648.0,Southern Asia,102.0,652864.0,1946-11-19
Albania,Tirana,,484.6,93.9,Lek (ALL),101.9,2792.0,Southern Europe,97.8,28748.0,1955-12-14
Algeria,Algiers,,2729.3,134.3,Algerian Dinar (DZD),19.7,46814.0,Northern Africa,104.1,2381741.0,1962-10-08
American Samoa,Pago Pago,,48.5,,US Dollar (USD),233.8,47.0,Polynesia,101.9,199.0,
Andorra,Andorra la Vella,,22.6,0.9,Euro (EUR),174.3,82.0,Southern Europe,104.6,468.0,1993-07-28
Angola,Luanda,,8044.7,828.8,Kwanza (AOA),30.4,37886.0,Middle Africa,98.0,1246700.0,1976-12-01
Anguilla,The Valley,,1.4,2.7,E. Caribbean Dollar (XCD)d,165.9,15.0,Caribbean,94.5,91.0,
Antigua and Barbuda,Saint John's,,20.8,2.7,E. Caribbean Dollar (XCD)c,213.1,94.0,Caribbean,90.8,442.0,1981-11-11
Argentina,Buenos Aires,,15057.3,807.0,Argentine Peso (ARS),16.4,45696.0,South America,98.5,2796427.0,1945-10-24
Armenia,Yerevan,,1083.3,404.8,Armenian Dram (AMD),104.5,2974.0,Western Asia,86.7,29743.0,1992-03-02
Aruba,Oranjestad,,29.9,1.8,Aruban Florin (AWG),600.4,108.0,Caribbean,89.5,180.0,
Australia,Canberra,,452.5,1.5,Australian Dollar (AUD),3.5,26713.0,Oceania,98.5,7692024.0,1945-11-01
Austria,Vienna,,1915.3,0.9,Euro (EUR),110.5,9121.0,Western Europe,97.0,83878.0,1955-12-14
Azerbaijan,Baku,,2313.1,1.7,Azerbaijan manat (AZN),125.1,10337.0,Western Asia,96.1,86600.0,1992-03-02
Bahamas,Nassau,,279.7,1.0,Bahamian Dollar (BSD),74.9,401.0,Caribbean,91.4,13940.0,1973-09-18
Bahrain,Manama,,600.4,0.4,Bahraini Dinar (BHD),2052.4,1607.0,Western Asia,163.4,778.0,1971-09-21
Bangladesh,Dhaka,,20283.6,110.0,Taka (BDT),1333.4,173562.0,Southern Asia,96.7,148460.0,1974-09-17
Barbados,Bridgetown,,89.2,2.0,Barbados Dollar (BBD),656.9,282.0,Caribbean,92.1,431.0,1966-12-09
Belarus,Minsk,,2016.7,3.2,Belarusian Ruble (BYN),44.6,9057.0,Eastern Europe,87.3,207600.0,1945-10-24
Belgium,Brussels,,2065.3,0.9,Euro (EUR),387.7,11739.0,Western Europe,97.3,30528.0,1945-12-27
Belize,Belmopan,,23.0,2.0,Belize Dollar (BZD),18.3,417.0,Central America,101.8,22965.0,1981-09-25
Benin,Porto-Novoc,,285.3,593.6,"CFA Franc, BCEAO (XOF)d",128.3,14463.0,Western Africa,100.6,114763.0,1960-09-20
Bermuda,Hamilton,,10.1,1.0,Bermudian Dollar (BMD),1197.0,65.0,Northern America,95.8,54.0,
Bhutan,Thimphu,,203.3,83.3,Ngultrum (BTN),20.6,792.0,Southern Asia,114.8,38394.0,1971-09-21
Bolivia (Plurinational State of),Sucred,,277.9,6.9,Boliviano (BOB),11.5,12413.0,South America,100.4,1098581.0,1945-11-14
"Bonaire, Sint Eustatius and Saba",Kralendijk,,11.3,,US Dollar (USD),93.5,31.0,Caribbean,106.1,,
Bosnia and Herzegovina,Sarajevo,,342.7,1.8,Convertible Mark (BAM),61.8,3164.0,Southern Europe,90.8,51209.0,1992-05-22
Botswana,Gaborone,,269.3,13.4,Pula (BWP),4.4,2521.0,Southern Africa,99.4,582000.0,1966-10-17
Brazil,Brasilia,,4559.0,4.8,Brazilian Real (BRL),25.4,211999.0,South America,96.8,8515767.0,1945-10-24
British Virgin Islands,Road Town,,15.1,,US Dollar (USD),256.3,40.0,Caribbean,90.0,151.0,
Brunei Darussalam,Bandar Seri Begawan,,40.8,1.3,Brunei Dollar (BND),80.3,463.0,South-eastern Asia,113.2,5765.0,1984-09-21
Bulgaria,Sofia,,1276.9,1.8,Bulgarian Lev (BGN),62.3,6758.0,Eastern Europe,93.8,110372.0,1955-12-14
Burkina Faso,Ouagadougou,,2652.7,593.6,"CFA Franc, BCEAO (XOF)c",86.1,23549.0,Western Africa,99.3,274200.0,1960-09-20
Burundi,Gitega,,899.0,2856.1,Burundi Franc (BIF),541.3,14048.0,Eastern Africa,98.7,27834.0,1962-09-18
Cabo Verde,Praia,,167.5,100.4,Cabo Verde Escudo (CVE),130.2,525.0,Western Africa,103.5,4033.0,1975-09-16
Cambodia,Phnom Penh,,2014.0,4085.0,Riel (KHR),97.4,17639.0,South-eastern Asia,96.1,181035.0,1955-12-14
Cameroon,Yaoundé,,3822.4,593.6,"CFA Franc, BEAC (XAF)c",62.5,29124.0,Middle Africa,99.3,475650.0,1960-09-20
Canada,Ottawa,,1378.2,1.3,Canadian Dollar (CAD),4.4,39742.0,Northern America,98.6,9984670.0,1945-11-09
Cayman Islands,George Town,,34.9,0.8,Cayman Islands Dollar (KYD),309.0,74.0,Caribbean,100.8,264.0,
Central African Republic,Bangui,,869.6,593.6,"CFA Franc, BEAC (XAF)c",8.6,5331.0,Middle Africa,92.3,622984.0,1960-09-20
Chad,N'Djamena,,1371.5,593.6,"CFA Franc, BEAC (XAF)c",16.1,20299.0,Middle Africa,100.6,1284000.0,1960-09-20
Channel Islands,Saint Heliera,,34.4,0.8,Pound Sterling (GBP),,,Northern Europe,,,
Chile,Santiago,,6723.5,873.0,Chilean Peso (CLP),26.2,19765.0,South America,98.8,756102.0,1945-10-24
China,Beijing,,20035.5,7.1,Yuan Renminbi (CNY),147.8,1419321.0,Eastern Asia,103.8,9600000.0,1945-10-24
"China, Hong Kong SAR",Hong Kong,,7490.8,7.8,Hong Kong Dollar (HKD),6747.0,7415.0,Eastern Asia,82.0,1107.0,
"China, Macao SAR",Macao,,642.1,8.1,Pataca (MOP),22508.2,720.0,Eastern Asia,85.4,33.0,
Colombia,Bogota,,10779.4,3822.0,Colombian Peso (COP),47.1,52886.0,South America,97.4,1141748.0,1945-11-05
Comoros,Moroni,,62.4,445.2,Comorian Franc (KMF),465.7,867.0,Eastern Africa,101.2,2235.0,1975-11-12
Congo,Brazzaville,,2308.1,593.6,"CFA Franc, BEAC (XAF)c",18.5,6333.0,Middle Africa,100.0,342000.0,1960-09-20
Cook Islands,Avarua,,13.1,1.6,New Zealand Dollar (NZD),57.2,14.0,Polynesia,95.9,236.0,
Costa Rica,San José,,1378.5,523.0,Costa Rican Colon (CRC),100.5,5130.0,Central America,97.7,51100.0,1945-11-02
