Country,Year,Agricultural production index (2014-2016=100),"Balance of payments, current account (million US$)",CPI: Consumer Price Index (2010=100),Economy: Agriculture (% of Gross Value Added),Economy: Industry (% of Gross Value Added),Economy: Services and other activity (% of GVA),Employment in agriculture (% of employed),Employment in industry (% of employed),Employment in services (% employed),"GDP growth rate (annual %, const. 2015 prices)",GDP per capita (current US$),GDP: Gross domestic product (million current US$),International trade: balance (million current US$),International trade: exports (million current US$),International trade: imports (million current US$),Unemployment (% of labour force),Labour force participation rate - Female (per 100 pop.),Labour force participation rate - Male (per 100 pop.),Labour force participation rate - Female/Labour force participation rate - Male Ratio,Education: Government expenditure (% of GDP),"Fertility rate, total (live births per woman)",Health: Current expenditure (% of GDP),Health: Physicians (per 1 000 pop.),Intentional homicide rate (per 100 000 pop.),Population growth rate (average annual %),Refugees and others of concern to UNHCR (000),Seats held by women in national parliaments (%),Under five mortality rate (per 1000 live births),Urban population (% of total population),Urban population growth rate (average annual %),Education: Primary gross enrol. ratio - Female (per 100 pop.),Education: Primary gross enrol. ratio - Male (per 100 pop.),Education: Primary gross enrol. ratio - Female/Education: Primary gross enrol. ratio - Male Ratio,Education: Upper Sec. gross enrol. ratio - Female (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Male (per 100 pop.),Education: Upper Sec. gross enrol. ratio - Female/Education: Upper Sec. gross enrol. ratio - Male Ratio,Education: Lower Sec. gross enrol. ratio - Female (per 100 pop.),Education: Lower Sec. gross enrol. ratio - Male (per 100 pop.),Education: Lower Sec. gross enrol. ratio - Female/Education: Lower Sec. gross enrol. ratio - Male Ratio,International migrant stock (000),International migrant stock (% of total pop.),International migrant stock/International migrant stock Ratio,Life expectancy at birth - Female (years),Life expectancy at birth - Male (years),Life expectancy at birth - Female/Life expectancy at birth - Male Ratio,Population age distribution - 0-14 years (%),Population age distribution - 60+ years (%),Population age distribution - 0-14 years/Population age distribution - 60+ years Ratio,"Energy production, primary (Petajoules)",Energy supply per capita (Gigajoules),Forested area (% of land area),Important sites for terrestrial biodiversity protected (%),Individuals using the Internet (per 100 inhabitants),Net Official Development Assist. disbursed (% of GNI),Net Official Development Assist. received (% of GNI),Research & Development expenditure (% of GDP),Threatened species (number),Tourist/visitor arrivals at national borders (000),CO2 emission estimates - Total (million tons),CO2 emission estimates - Per capita (tons per capita),CO2 emission estimates - Total/CO2 emission estimates - Per capita Ratio,Pop. using safely managed drinking water - Urban (%),Pop. using safely managed drinking water - Rural (%),Pop. using safely managed drinking water - Urban/Pop. using safely managed drinking water - Rural Ratio,Pop. using safely managed sanitation - Urban (%),Pop. using safely managed sanitation - Rural (%),Pop. using safely managed sanitation - Urban/Pop. using safely managed sanitation - Rural Ratio
Afghanistan,2015.0,96.0,4193.0,133.0,22.0,9.6,68.3,44.6,20.7,34.7,2.5,554.0,18700.0,7151.0,571.0,7723.0,9.0,19.1,75.3,25.3652058432935,3.3,5.7,10.1,0.3,10.0,2.3,1421.4,27.7,76.5,24.8,4.0,85.9,125.4,68.50079744816587,27.9,54.3,51.38121546961326,47.0,80.3,58.53051058530511,339.4,1.0,33940.0,64.2,60.4,106.29139072847681,46.3,3.7,1251.3513513513512,61.0,5.0,1.9,5.8,8.3,,22.14,,38.0,,9.5,0.3,3166.666666666667,31.8,21.2,150.0,,,
Afghanistan,2020.0,112.0,3137.0,150.0,31.4,13.6,55.0,46.0,18.5,35.5,2.1,512.7,19983.0,7484.0,783.0,8266.0,11.7,16.5,66.7,24.737631184407796,2.9,5.1,15.5,0.3,6.6,3.3,2802.9,27.0,62.9,25.8,,88.3,130.6,67.61102603369066,29.3,54.1,54.15896487985212,53.8,90.0,59.77777777777777,144.1,0.4,36024.99999999999,64.7,58.5,110.5982905982906,44.2,3.8,1163.1578947368423,78.0,5.0,1.9,46.4,17.6,,20.73,,40.0,,11.3,0.3,3766.666666666667,35.6,25.9,137.45173745173747,,,
Afghanistan,2024.0,111.0,,,35.5,16.9,47.5,46.6,18.3,35.1,6.2,344.6,14175.0,4337.0,456.0,4793.0,16.3,5.0,69.3,7.2150072150072155,,4.8,21.8,,4.0,2.8,3346.2,27.0,54.5,,,,,,,,,,,,,,,67.8,64.7,104.79134466769706,42.9,3.9,1100.0,91.0,4.0,1.9,46.4,,,,,57.0,,10.0,0.2,5000.0,36.4,27.7,131.40794223826714,,,
Albania,2015.0,100.0,980.0,111.0,22.5,24.8,52.7,41.3,18.7,40.0,2.2,3950.4,11387.0,2391.0,1930.0,4320.0,17.2,47.0,64.1,73.32293291731669,3.4,1.6,6.5,1.3,2.2,0.2,8.1,20.7,10.1,57.4,1.8,111.5,115.0,96.95652173913044,91.5,105.3,86.8945868945869,105.5,108.6,97.14548802946594,52.0,1.8,2888.888888888889,80.5,76.3,105.50458715596332,19.0,17.7,107.34463276836159,87.0,32.0,28.8,47.7,56.9,,2.91,,112.0,3784.0,3.8,1.3,292.30769230769226,,,,34.0,,
Albania,2020.0,106.0,1315.0,121.0,21.9,22.9,55.1,36.2,20.6,43.2,3.5,5289.0,15163.0,2995.0,2416.0,5411.0,12.8,50.1,64.7,77.43431221020093,3.3,1.4,7.5,1.9,2.1,0.4,3.6,29.5,9.4,61.2,,98.0,103.2,94.96124031007753,89.4,97.2,91.9753086419753,95.4,101.6,93.8976377952756,48.8,1.7,2870.5882352941176,80.3,75.4,106.49867374005304,17.5,21.1,82.93838862559241,63.0,30.0,28.8,48.6,72.2,,2.08,,142.0,2604.0,3.5,1.2,291.6666666666667,,,,45.2,,
Albania,2024.0,105.0,202.0,138.0,21.3,24.5,54.2,34.9,21.4,43.7,4.9,6655.3,18916.0,4601.0,4413.0,9015.0,10.8,52.3,67.1,77.94336810730253,,1.3,7.3,,1.7,0.7,7.1,35.7,8.3,,,92.7,98.5,94.11167512690356,91.4,101.9,89.69578017664377,91.4,98.2,93.07535641547861,,,,81.6,77.9,104.74967907573811,16.8,23.5,71.48936170212767,76.0,33.0,28.8,48.6,82.6,,3.52,,165.0,7105.0,3.9,1.4,278.5714285714286,,,,49.6,,
Algeria,2015.0,100.0,27038.0,127.0,12.1,37.3,50.6,8.8,31.2,59.9,3.7,4197.4,165979.0,17007.0,34796.0,51803.0,11.2,16.2,66.3,24.43438914027149,,3.1,7.0,,1.4,2.0,100.0,31.6,25.3,70.8,2.9,108.5,113.1,95.93280282935456,76.8,54.3,141.43646408839777,130.6,140.2,93.15263908701856,239.5,0.6,39916.66666666667,76.4,74.0,103.24324324324326,29.0,8.1,358.0246913580247,5883.0,56.0,0.8,42.4,38.2,,0.04,,114.0,1710.0,126.1,3.2,3940.624999999999,81.5,65.9,123.67223065250379,65.8,54.1,121.62661737523104
Algeria,2020.0,112.0,18187.0,155.0,14.3,34.3,51.4,10.0,30.8,59.1,5.1,3354.2,145744.0,15486.0,21925.0,37412.0,14.0,15.4,62.6,24.600638977635782,,2.9,6.1,1.0,1.5,1.6,99.2,25.8,22.8,73.2,,108.7,111.9,97.14030384271672,,,,,,,250.4,0.6,41733.333333333336,74.9,71.7,104.46304044630406,30.8,9.0,342.22222222222223,5458.0,54.0,0.8,43.5,60.7,,0.15,0.5,155.0,591.0,133.6,3.1,4309.677419354838,74.5,65.8,113.22188449848025,64.8,55.7,116.3375224416517
Algeria,2024.0,111.0,5424.0,199.0,13.3,38.0,48.7,9.7,30.9,59.4,3.1,4273.9,191913.0,12795.0,57360.0,44564.0,12.1,16.9,67.1,25.18628912071535,,2.7,5.5,,1.8,1.4,103.1,7.9,20.5,,,107.7,109.8,98.08743169398907,,,,,,,,,,77.9,75.1,103.72836218375501,30.3,10.0,303.0,6214.0,58.0,0.8,43.5,71.2,,0.13,,186.0,1398.0,146.0,3.3,4424.242424242424,73.1,63.1,115.84786053882725,64.6,56.0,115.35714285714285
American Samoa,2015.0,,,,,,,3.0,23.2,73.8,,,,,,,9.2,,,,,2.8,,,7.8,1.2,,,11.0,87.2,0.1,,,,,,,,,,23.5,42.1,55.819477434679335,75.3,70.3,107.11237553342816,31.8,8.4,378.57142857142856,0.0,110.0,86.4,71.1,,,,,90.0,20.0,0.4,8.0,5.0,,,,,,
American Samoa,2020.0,,,,,,,,,,,,,,,,,,,,,2.4,,,0.0,0.4,,,10.9,87.1,,,,,,,,,,,23.6,42.8,55.14018691588786,75.7,70.0,108.14285714285714,29.7,10.4,285.57692307692304,0.0,116.0,85.6,71.1,,,,,99.0,1.0,0.4,8.5,4.705882352941177,,,,,,
American Samoa,2024.0,,,,,,,,,,,,,,,,,,,,,2.3,,,,1.6,,,10.4,,,,,,,,,,,,,,,76.0,70.3,108.10810810810811,27.0,12.9,209.3023255813953,0.0,119.0,85.5,71.1,,,,,109.0,,0.4,8.7,4.597701149425288,,,,,,
Andorra,2015.0,,,95.0,0.6,11.2,88.2,,,,1.4,38869.9,2789.0,1204.0,90.0,1294.0,,,,,3.3,1.2,6.9,3.6,0.0,2.2,,50.0,5.8,88.3,1.7,88.2,89.6,98.43750000000001,91.6,83.8,109.30787589498807,92.2,97.7,94.37052200614124,42.3,54.2,78.04428044280442,86.6,82.6,104.84261501210655,15.3,17.9,85.47486033519554,0.0,122.0,34.0,26.2,87.9,,,,11.0,2663.0,0.5,6.7,7.462686567164178,,,,98.2,98.2,100.0
Andorra,2020.0,,449.0,98.0,0.6,13.6,85.8,,,,11.2,37207.2,2891.0,1328.0,167.0,1495.0,,,,,3.2,1.0,8.8,,2.6,0.6,,46.4,6.5,88.0,,87.8,89.7,97.88182831661092,98.4,94.3,104.34782608695654,95.9,97.1,98.76416065911432,45.6,59.0,77.28813559322035,83.8,75.8,110.55408970976252,13.4,20.4,65.68627450980394,1.0,96.0,34.0,26.2,93.2,,,,15.0,1872.0,0.4,5.0,8.0,,,,100.0,100.0,100.0
Andorra,2024.0,,583.0,112.0,0.5,12.4,87.0,,,,9.6,42293.3,3376.0,1742.0,252.0,1995.0,,,,,,1.1,8.3,,,1.3,,50.0,6.0,,,89.9,90.4,99.44690265486726,103.7,100.0,103.69999999999999,94.0,96.7,97.20785935884177,,,,86.2,82.3,104.73876063183477,11.9,23.2,51.293103448275865,1.0,101.0,34.0,26.2,94.5,,,,17.0,3555.0,0.4,5.4,7.4074074074074066,,,,100.0,100.0,100.0
Angola,2015.0,101.0,10273.0,159.0,9.1,42.1,48.8,56.8,7.8,35.4,0.9,4130.9,116194.0,12376.0,33925.0,21549.0,16.4,73.9,78.6,94.02035623409671,3.1,5.8,2.6,,4.5,3.6,45.7,36.8,88.6,63.4,4.7,111.9,126.4,88.52848101265823,14.5,25.7,56.42023346303502,28.8,41.4,69.56521739130436,632.2,2.3,27486.956521739135,63.4,58.7,108.0068143100511,45.3,4.3,1053.4883720930231,4051.0,19.0,55.7,31.3,22.0,,0.46,,130.0,592.0,17.9,0.6,2983.333333333333,,,,,,
Angola,2020.0,115.0,872.0,379.0,9.9,45.7,44.4,55.2,6.3,38.6,5.6,1640.0,54821.0,12797.0,22135.0,9338.0,16.7,73.0,77.2,94.55958549222797,2.6,5.4,3.2,0.2,4.1,3.2,55.9,30.0,71.6,66.2,,86.0,91.2,94.29824561403508,25.7,31.5,81.58730158730158,57.0,94.3,60.44538706256628,656.4,2.0,32820.0,65.8,60.5,108.7603305785124,45.0,4.5,1000.0,3315.0,15.0,53.4,31.3,36.6,,0.23,0.0,171.0,64.0,11.8,0.4,2950.0,,,,,,
Angola,2024.0,124.0,4210.0,,13.7,45.1,41.1,56.3,5.7,38.0,3.0,3183.7,113305.0,18278.0,40327.0,22050.0,14.1,72.7,77.6,93.68556701030928,2.1,5.0,3.0,0.2,,3.0,56.0,38.6,63.1,,,,,,,,,,,,,,,67.3,62.3,108.02568218298556,44.4,4.6,965.2173913043479,2940.0,16.0,53.0,31.3,39.3,,0.37,,239.0,130.0,14.5,0.4,3625.0,,,,,,
Anguilla,2015.0,,99.0,105.0,2.3,15.3,82.4,,,,3.7,22756.3,331.0,371.0,37.0,407.0,,,,,3.0,1.4,,,28.3,2.5,,,7.4,100.0,1.2,106.6,106.9,99.71936389148736,105.3,115.5,91.16883116883116,118.2,117.7,100.42480883602379,5.5,38.3,14.360313315926895,81.7,74.2,110.10781671159029,20.5,12.4,165.32258064516128,0.0,136.0,61.1,18.6,76.0,,,,51.0,73.0,0.1,9.6,1.0416666666666667,,,,,,
Anguilla,2020.0,,86.0,107.0,1.0,15.1,83.9,,,,29.9,16582.7,258.0,1373.0,71.0,1444.0,,,,,4.0,1.4,,,,0.6,0.0,,6.3,100.0,,100.5,103.1,97.47817652764307,106.9,114.4,93.44405594405595,108.5,113.9,95.25899912203687,5.7,38.1,14.960629921259844,82.3,75.3,109.2961487383798,18.1,15.5,116.77419354838709,0.0,126.0,61.1,18.6,81.6,,,,60.0,25.0,0.1,8.9,1.1235955056179776,,,,,,
Anguilla,2024.0,,75.0,118.0,0.7,12.3,86.9,,,,24.2,28561.3,453.0,1537.0,54.0,1591.0,,,,,,1.4,,,,1.0,0.1,,5.5,,,95.1,103.9,91.5303176130895,,,,,,,,,,82.8,76.2,108.66141732283464,16.3,18.4,88.58695652173914,0.0,128.0,61.1,18.6,,,,,85.0,74.0,0.1,9.1,1.098901098901099,,,,,,
Antigua and Barbuda,2015.0,100.0,29.0,110.0,1.8,18.7,79.5,,,,3.8,14861.9,1337.0,439.0,26.0,465.0,,,,,2.8,1.6,5.3,,11.4,0.7,0.0,11.1,10.9,25.0,0.1,108.1,111.5,96.95067264573991,103.1,89.5,115.19553072625696,128.4,132.5,96.90566037735849,28.1,30.0,93.66666666666667,80.0,73.5,108.843537414966,21.2,12.3,172.35772357723576,0.0,91.0,19.2,9.1,70.0,,0.12,,53.0,250.0,0.6,6.6,9.090909090909092,,,,,,
Antigua and Barbuda,2020.0,82.0,224.0,116.0,2.4,22.9,74.7,,,,17.4,15303.3,1418.0,400.0,22.0,422.0,,,,,3.8,1.6,5.9,2.9,9.7,0.6,0.0,11.1,10.1,24.5,,111.0,113.2,98.0565371024735,118.7,104.7,113.3715377268386,119.1,135.8,87.70250368188512,29.4,30.0,98.0,79.8,74.2,107.54716981132076,19.1,15.1,126.49006622516556,0.0,94.0,18.5,14.0,86.9,,1.93,,61.0,125.0,0.6,6.8,8.823529411764707,,,,,,
Antigua and Barbuda,2024.0,90.0,262.0,134.0,2.1,23.0,74.9,,,,9.1,18880.0,1770.0,639.0,30.0,670.0,,,,,4.3,1.6,5.9,,10.7,0.5,0.1,5.6,9.2,,,,,,,,,,,,,,,80.4,74.7,107.63052208835342,17.8,17.7,100.56497175141243,0.0,96.0,18.3,14.0,91.4,,0.42,,88.0,265.0,0.6,6.9,8.695652173913043,,,,,,
Argentina,2015.0,104.0,17622.0,,6.1,27.5,66.3,7.8,22.3,69.8,2.7,14908.6,644903.0,3419.0,56784.0,60203.0,7.6,47.5,71.5,66.43356643356644,5.8,2.3,10.2,4.0,6.6,1.0,4.4,36.2,12.9,91.5,1.2,114.8,112.8,101.77304964539007,91.5,78.6,116.41221374045803,131.7,129.0,102.09302325581395,2086.3,4.8,43464.583333333336,79.8,73.4,108.71934604904632,24.9,15.3,162.74509803921566,3063.0,79.0,10.6,31.1,68.0,,0.0,0.6,243.0,6816.0,184.6,4.3,4293.023255813953,,,,46.0,,
Argentina,2020.0,109.0,2688.0,331.0,7.6,26.8,65.6,7.3,20.5,72.2,9.9,8565.2,385741.0,12528.0,54884.0,42356.0,11.5,46.5,65.9,70.56145675265554,5.1,1.6,10.3,3.9,5.4,0.3,188.8,40.9,11.2,92.0,,112.1,109.3,102.56175663311986,101.2,90.5,111.8232044198895,130.5,127.3,102.51374705420267,2281.7,5.0,45634.0,78.8,73.0,107.94520547945206,23.7,16.1,147.20496894409936,3060.0,68.0,10.4,32.1,85.5,,0.03,0.5,285.0,2090.0,157.9,3.5,4511.428571428572,,,,46.2,,
Argentina,2024.0,110.0,21494.0,1975.0,7.9,28.8,63.3,7.2,20.0,72.8,5.0,13867.9,631133.0,6925.0,66789.0,73714.0,6.7,50.4,71.1,70.88607594936708,,1.5,9.7,4.1,4.3,0.3,231.1,42.4,10.2,,,111.6,108.8,102.5735294117647,110.5,101.3,109.08193484698914,129.4,125.1,103.43725019984014,,,,80.0,75.0,106.66666666666667,21.6,16.8,128.57142857142858,3158.0,75.0,10.4,32.3,88.4,,0.03,0.5,373.0,3890.0,183.1,4.0,4577.5,,,,46.2,,
