Model,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,Train_R2,Test_R2,CV_MSE_Mean,CV_MSE_Std,CV_R2_Mean,CV_R2_Std,Training_Time,Overfitting
Extra Trees,1.2719226323734654e-26,2.4400930515464117,1.1277954745313821e-13,1.562079719971555,1.011467682507078e-13,1.2858144329896983,1.0,0.9557486378919151,3.1489635643190126,0.8640957473280697,0.9410953713381458,0.01319269209015426,0.5839321613311768,0.04425136210808489
Extra Trees (Optimized),1.1533640566509432e-05,2.4964590612024655,0.0033961214004374803,1.5800186901434001,0.0016488535223854537,1.2942762927507652,0.9999997876789171,0.9547264339631357,3.0588043604735176,0.8215874245048514,0.9427730242044591,0.012408675139854235,1.153745174407959,0.04527335371578134
Gradient Boosting (Optimized),0.00639595819580384,3.2009207171241223,0.07997473473418865,1.7891117117508684,0.0626009244256776,1.4466711571188433,0.9998822577517645,0.9419509425499316,3.0041812105519043,0.601217760996672,0.9431565834617086,0.01143237427837066,2.0746827125549316,0.05793131520183292
Gradient Boosting,0.7859693475145586,3.6638773379962664,0.8865491230126837,1.9141257372482787,0.6837408973384158,1.5389488150744366,0.9855312065545976,0.9335551721273384,3.5290840964626637,0.6859262977038054,0.9327177102144493,0.015862614465174285,0.6731610298156738,0.05197603442725918
Random Forest (Optimized),0.5074178600105318,3.932518703258167,0.7123326891351623,1.9830579172727576,0.5322367212173365,1.5496197021763791,0.990659019680326,0.9286833307342895,3.8310418384976566,1.0051602430494169,0.9276928905819546,0.01877355446977601,1.5752620697021484,0.061975688946036445
Random Forest,0.5215291518087886,3.9764277190721673,0.7221697527650882,1.994098222022217,0.5377609819121447,1.5560051546391789,0.990399246997177,0.9278870357907981,3.8027969979520435,0.9671090749121478,0.9282438858806383,0.017874474973985994,0.6956772804260254,0.06251221120637884
Ridge Regression,3.4247986594772817,4.510243044881218,1.8506211550388376,2.123733280071021,1.4771510557013823,1.7000477428028973,0.9369533881279639,0.9182062347794386,4.317222045037906,0.8401272011437382,0.9190089868161726,0.010213320312160431,0.008237123489379883,0.01874715334852528
Ridge Regression (Optimized),3.4247986594772817,4.510243044881218,1.8506211550388376,2.123733280071021,1.4771510557013823,1.7000477428028973,0.9369533881279639,0.9182062347794386,4.317222045037906,0.8401272011437382,0.9190089868161726,0.010213320312160431,0.0067729949951171875,0.01874715334852528
Linear Regression,3.4236126373027806,4.53073802876869,1.850300688348459,2.128553036400242,1.4766357089938913,1.7060499835068583,0.9369752214347191,0.917834555940048,4.33642756391936,0.8363466355116017,0.9186422566332872,0.010108419242106642,0.025648117065429688,0.019140665494671083
Lasso Regression,7.467179250379721,7.16019528776921,2.7326139958617865,2.675854123036084,2.243787753571279,2.1155174713031135,0.8625378018427905,0.870149052617942,7.812622307896433,0.9529499890421204,0.8513230643454011,0.023415355225718668,0.008874893188476562,-0.007611250775151457
ElasticNet,7.848554608763613,7.434504909940902,2.801527192222773,2.7266288544539576,2.228625537762496,2.195558053523682,0.8555171192893647,0.8651744167479047,8.348308935738604,1.9828702409191283,0.8435480730388548,0.02675574174769863,0.008635997772216797,-0.009657297458540048
Decision Tree,1.0436609392071268e-30,7.959742268041241,1.0215972490209274e-15,2.821301520228074,7.344110963928684e-17,2.1051546391752587,1.0,0.8556491781463431,7.9104453879453915,1.5936215784131877,0.8509875459429601,0.025486151268862674,0.029085874557495117,0.14435082185365689
K-Nearest Neighbors,3.976843410852712,8.405158762886611,1.9942024498161444,2.899165183787673,1.433333333333333,1.901443298969074,0.9267908779670677,0.8475714998832847,8.606837382617382,2.604207131453158,0.8412582261200381,0.0299259396931144,0.010531902313232422,0.07921937808378299
Support Vector Machine,7.638726327154567,8.843828515764788,2.763824583282117,2.9738575143682975,1.9111004087148848,2.11464303513634,0.8593798170843939,0.8396161745451078,10.553647724949084,4.058326627987545,0.8071124896496562,0.051511604339260095,0.03493499755859375,0.019763642539286086
